isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,genres
9780006513087,0006513085,Gravity,,Tess Gerritsen,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons, gathered from the deep sea, begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population, there are those who would leave the astronauts stranded in orbit, quarantined aboard the station.",2004.0,4.04,342.0,8024.0,['Sci-Fi']
9780007113804,0007113803,Murder in Mesopotamia,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An archaeologist's wife is murdered on the shores of the River Tigris in Iraq... It was clear to Amy Leatheran that something sinister was going on at the Hassanieh dig in Iraq; something associated with the presence of 'Lovely Louise', wife of celebrated archaeologist Dr Leidner. In a few days' time Hercule Poirot was due to drop in at the excavation site. But with Louise suffering from terrifying hallucinations, and tension within the group becoming almost unbearable, Poirot might just be too late...",2001.0,3.89,264.0,25692.0,['Mystery']
9780007119332,000711933X,Death in the Clouds,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane... From seat No.9, Hercule Poirot was ideally placed to observe his fellow air passengers. Over to his right sat a pretty young woman, clearly infatuated with the man opposite; ahead, in seat No.13, sat a Countess with a poorly-concealed cocaine habit; across the gangway in seat No.8, a detective writer was being troubled by an aggressive wasp. What Poirot did not yet realize was that behind him, in seat No.2, sat the slumped, lifeless body of a woman.",2001.0,3.8,333.0,21123.0,['Mystery']
9780007119356,0007119356,Appointment with Death,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A repugnant Amercian widow is killed during a trip to Petra... Among the towering red cliffs of Petra, like some monstrous swollen Buddha, sat the corpse of Mrs Boynton. A tiny puncture mark on her wrist was the only sign of the fatal injection that had killed her. With only 24 hours available to solve the mystery, Hercule Poirot recalled a chance remark he'd overheard back in Jerusalem: 'You see, don't you, that she's got to be killed?' Mrs Boynton was, indeed, the most detestable woman he'd ever met...",2001.0,3.86,303.0,24859.0,['Mystery']
9780007120819,0007120818,The Big Four,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A ruthless international cartel seeks world domination... Framed in the doorway of Poirot's bedroom stood an uninvited guest, coated from head to foot in dust. The man's gaunt face stared for a moment, then he swayed and fell. Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world of international intrigue, risking his life to uncover the truth about 'Number Four'.",2002.0,3.59,272.0,22155.0,['Mystery']
9780007120864,0007120869,The Thirteen Problems,,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Tuesday Night Club is a venue where locals challenge Miss Marple to solve recent crimes... One Tuesday evening a group gathers at Miss Marple's house and the conversation turns to unsolved crimes... The case of the disappearing bloodstains; the thief who committed his crime twice over; the message on the death-bed of a poisoned man which read 'heap of fish'; the strange case of the invisible will; a spiritualist who warned that 'Blue Geranium' meant death... Now pit your wits against the powers of deduction of the 'Tuesday Night Club'.,2002.0,3.89,315.0,12840.0,['Mystery']
9780007120963,0007120966,A Murder is Announced,,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The villagers of Chipping Cleghorn are amazed by an advertisement in the local paper which reads ""A murder is announced and will take place on Friday October 29th, at Little Paddocks at 6.30pm. Unable to resist, a crowd begins to gather at the house at the appointed time. But when a man is killed in what looks like an attempted robbery, Miss Marple becomes involved.",2002.0,3.98,382.0,680.0,['Mystery']
9780007121021,0007121024,The Hollow,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lucy Angkatell Invited Hercule Poirot To Lunch. To Tease The Great Detective, Her Guests Stage A Mock Murder Beside The Swimming Pool. Unfortunately, The Victim Plays The Scene For Real. As His Blood Drips Into The Water, John Christow Gasps One Final Word: Henrietta . In The Confusion, A Gun Sinks To The Bottom Of The Pool. Poirot S Enquiries Reveal A Complex Web Of Romantic Attachments. It Seems Everyone In The Drama Is A Suspect And Each A Victim Of Love.",2002.0,3.79,384.0,13022.0,['Mystery']
9780007136582,0007136587,The Lord of the Rings,,John Ronald Reuel Tolkien,"Fantasy fiction, English",http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Since it was first published in 1954, 'The Lord of the Rings' has been a book people have treasured. Steeped in unrivalled magic and otherworldliness, its sweeping fantasy has touched the hearts of young and old alike. Well over 100 million copies of its many editions have been sold around the world, and occasional collectors’ editions become prized and valuable items of publishing. With the epic trilogy now being released on film, images of the characters and landscapes have become eagerly sought after. Much of the look of the movies is based on Alan Lee’s paintings, giving this Centenary edition of Tolkien’s great work new relevance for the ever-growing number of fans.",2002.0,4.49,1200.0,680.0,['Fantasy']
9780007137336,0007137338,Lirael,Daughter of the Clayr,Garth Nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a dangerous necromancer threatens to unleash a long-buried evil, Lirael and Prince Sameth are drawn into a battle to save the Old Kingdom and reveal their true destinies. Suggested level: secondary.",2004.0,4.3,527.0,1339.0,['Fantasy']
9780007154845,0007154844,The Mysterious Mr. Quin,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A mysterious stranger appears at a New Year's Eve party, becoming the enigmatic sleuthing sidekick to the snobbish Mr Satterthwaite... So far, it had been a typical New Year's Eve house party. But Mr Satterthwaite - a keen observer of human nature - sensed that the real drama of the evening was yet to unfold. So it proved when a mysterious stranger arrived after midnight. Who was this Mr Quin? And why did his presence have such a pronounced effect on Eleanor Portal, the woman with the dyed-black hair?",2003.0,3.72,396.0,7514.0,['Mystery']
9780007154883,0007154887,The Listerdale Mystery,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A selection of mysteries, some light-hearted, some romantic, some very deadly... Twelve tantalizing cases... the curious disappearance of Lord Listerdale; a newlywed's fear of her ex-fiance; a strange encounter on a train; a domestic murder investigation; a wild man's sudden personality change; a retired inspector's hunt for a murderess; a young woman's impersonation of a duchess; a necklace hidden in a basket of cherries; a mystery writer's arrest for murder; an astonishing marriage proposal; a soprano's hatred for a baritone; the case of the rajah's emerald. All have one thing in common: the skilful hand of Agatha Christie.",2003.0,3.55,317.0,178.0,['Mystery']
9780007158522,0007158521,"Oh, the Places You'll Go!",,Dr. Seuss,Adventure stories,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,From bang-ups and hang-ups to lurches and slumps. Dr. Seuss takes a hilarious look at the mishaps and misadventures that life may have in store for us.,2003.0,4.35,48.0,926.0,['Adventure']
9780060192778,0060192771,Mars and Venus Book of Days,365 Inspriations to Enrich Your Relationships,John Gray,Family & Relationships,http://books.google.com/books/content?id=kd6YGT74stsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Provides daily reminders of the differences in behavior and communication styles of men and women,1998.0,3.54,368.0,18.0,['Romance']
9780060574215,0060574216,"Men Are from Mars, Women Are from Venus",The Classic Guide to Understanding the Opposite Sex,John Gray,Family & Relationships,http://books.google.com/books/content?id=MUw_dAtcRjEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Rediscover the most famous relationship book ever published Once upon a time Martians and Venusians met, fell in love, and had happy relationships together because they respected and accepted their differences. Then they came to Earth and amnesia set in: they forgot they were from different planets. Based on years of successful counseling of couples and individuals, Men Are from Mars, Women Are from Venus has helped millions of couples transform their relationships. Now viewed as a modern classic, this phenomenal book has helped men and women realize how different they can be in their communication styles, their emotional needs, and their modes of behavior—and offers the secrets of communicating without conflicts, allowing couples to give intimacy every chance to grow.",2004.0,3.54,368.0,126108.0,['Romance']
9780060582500,0060582502,The Black Dahlia Files,"The Mob, the Mogul, and the Murder That Transfixed Los Angeles",Don Wolfe,True Crime,http://books.google.com/books/content?id=F6PpPrKuUaMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1946, Elizabeth Short traveled to Hollywood to become famous and see her name up in lights. Instead, the dark-haired beauty became immortalized in the headlines as the ""Black Dahlia"" when her nude and bisected body was discovered in the weeds of a vacant lot. Despite the efforts of more than four hundred police officers and homicide investigators, the heinous crime was never solved. Now, after endless speculation and false claims, bestselling author Donald H. Wolfe discovers startling new evidence—buried in the files of the Los Angeles District Attorney's Office for more than half a century. With the aid of archival photos, news clippings, and investigative reports, Wolfe documents the riveting untold story that names the brutal murderer—the notorious Mafia leader, Benjamin ""Bugsy"" Siegel—and the motive—an unwanted pregnancy resulting from Short's involvement with the most powerful figure in Los Angeles, Norman Chandler. But Wolfe goes even further to unravel the large-scale cover-up behind the case. Wolfe's extensive research, based on the evidence he discovered in the recently opened LADA files, makes The Black Dahlia Files the authoritative work on the murder that has drawn endless scrutiny but remained unsolved—until now.",2006.0,3.84,448.0,600.0,['Thriller']
9780060815523,0060815523,The Best American Crime Writing 2006,,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,http://books.google.com/books/content?id=Ec5HlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A sterling collection of the year's most shocking, compelling, and gripping writing about real-life crime, the 2006 edition of The Best American Crime Writing offers fascinating vicarious journeys into a world of felons and their felonious acts. This thrilling compendium includes: Jeffrey Toobin's eye-opening exposé in The New Yorker about a famous prosecutor who may have put the wrong man on death row Skip Hollandsworth's amazing but true tale of an old cowboy bank robber who turned out to be a ""classic good-hearted Texas woman"" Jimmy Breslin's stellar piece about the end of the Mob as we know it",2006.0,3.99,352.0,200.0,['Thriller']
9780060936662,0060936665,Smart Discipline(R),"Fast, Lasting Solutions for Your Child's Self-Esteem and Your Peace of Mind",Larry Koenig,Family & Relationships,http://books.google.com/books/content?id=Bpo2r2iKcKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Larry J. Koenig, Ph.D., creator of the hugely popular Smart Discipline® seminars, explains his simple, dramatically effective system to help children follow the rules at home and at school. It is easily tailoredto differences in age, temperament, and the needs of children with ADD/ADHD. Positive results usually are seen within a few days. Best of all: instead of nagging, parents can use Dr. Koenig's powerful esteem-building strategies to affirm their children's strengths. The Smart Discipline system: Gets kids to do what you ask, the first time you ask Stops fighting, bickering, and disrespectful language Ends hassles over homework, chores, messy rooms, and bedtime Instills positive self-image and builds confidence. . . and much more!",2004.0,3.99,208.0,12.0,['Romance']
9780061954597,0061954594,Midnighters #2: Touching Darkness,,Scott Westerfeld,Young Adult Fiction,http://books.google.com/books/content?id=GZa3um9f9NoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This is the second book in New York Times bestselling author Scott Westerfeld’s Midnighters series. As the Midnighters search for the truth about the secret hour, they uncover terrifying mysteries woven into the very fabric of Bixby’s history, and a conspiracy that touches the world of daylight. This time Jessica Day is not the only Midnighter in mortal danger, and if the group can’t find a way to come together, they could lose one of their own . . . forever. Touching Darkness is the second book in the Midnighters trilogy, from the New York Times bestselling author of the Uglies series.",2009.0,,,,['Young Adult']
9780061968464,0061968463,The Queen of Attolia,,Megan Whalen Turner,Young Adult Fiction,http://books.google.com/books/content?id=VW96Cr2twbQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Discover the world of the Queen’s Thief New York Times-bestselling author Megan Whalen Turner’s entrancing and award-winning Queen’s Thief novels bring to life the world of the epics and feature one of the most charismatic and incorrigible characters of fiction, Eugenides the thief. Megan Whalen Turner’s Queen’s Thief novels are rich with political machinations and intrigue, battles lost and won, dangerous journeys, divine intervention, power, passion, revenge, and deception. Perfect for fans of Leigh Bardugo, Marie Lu, Patrick Rothfuss, and George R. R. Martin. The brilliant thief Eugenides has visited the Queen of Attolia’s palace one too many times, leaving small tokens and then departing unseen. When his final excursion does not go as planned, he is captured by the ruthless queen. The Queen’s Thief novels have been praised by writers, critics, reviewers, and fans and have been honored with glowing reviews, “best of” citations, and numerous awards, including the Los Angeles Times Book Prize, a Newbery Honor, the Andre Norton Award shortlist, and the Mythopoeic Fantasy Award. Discover and rediscover the stand-alone companions, The Queen of Attolia, The King of Attolia, A Conspiracy of Kings, and Thick as Thieves, all epic novels set in the world of the Queen’s Thief. A Booklist Top 10 Fantasy Books for Youth ALA Popular Paperbacks for Young Adults A New York Public Library Book for the Teen Age Parent’s Choice Gold Award A Bulletin of the Center for Children’s Books Blue Ribbon Book “The Queen’s Thief books awe and inspire me. They have the feel of a secret, discovered history of real but forgotten lands. The plot-craft is peerless, the revelations stunning, and the characters flawed, cunning, heartbreaking, exceptional. Megan Whalen Turner’s books have a permanent spot on my favorites shelf, with space waiting for more books to come.”—Laini Taylor, New York Times-bestselling author of the Daughter of Smoke and Bone novels and Strange the Dreamer ""Unforgettable characters, plot twists that will make your head spin, a world rendered in elegant detail—you will fall in love with every page of these stories. Megan Whalen Turner writes vivid, immersive, heartbreaking fantasy that will leave you desperate to return to Attolia again and again.""—Leigh Bardugo, New York Times-bestselling author of the The Grisha Trilogy and Six of Crows “Megan Whalen Turner proves to be one of the brightest creative talents. With each book, she continues to add new levels and new luster to her sparkling imagination.”—Lloyd Alexander, Newbery Medalist and National Book Award-winning author of The Chronicles of Prydain “Readers will be spellbound.”—Kirkus Reviews (starred review) “Turner’s storytelling is so sure that readers will want to go along with her—and discover whatever it is that Eugenides will do next.”—Publishers Weekly (starred review) “[An] intense read . . . thoroughly involving and wholly satisfying on all fronts.”—The Horn Book (starred review)",2009.0,,,,['Young Adult']
9780064473552,0064473554,Hexwood,,Diana Wynne Jones,Young Adult Fiction,http://books.google.com/books/content?id=vDTJwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Strange things happen at Hexwood Farm. From her window, Ann Stavely watches person after person disappear through the farm's gate -- and never come out again. Later, in the woods nearby, she meets a tormented sorcerer, who seems to have arisen from a centuries-long sleep. But Ann knows she saw him enter the farm just that morning. Meanwhile, time keeps shifting in the woods, where a small boy -- or perhaps a teenager -- has encountered a robot and a dragon. Long before the end of their adventure, the strangeness of Hexwood has spread from Earth right out to the center of the galaxy.",2002.0,3.99,464.0,3419.0,['Young Adult']
9780071418584,007141858X,How to Talk to Anyone : 92 Little Tricks for Big Success in Relationships,92 Little Tricks for Big Success in Relationships,Leil Lowndes,Family & Relationships,http://books.google.com/books/content?id=LQt6mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""You'll not only break the ice, you'll melt it away with your new skills."" -- Larry King ""The lost art of verbal communication may be revitalized by Leil Lowndes."" -- Harvey McKay, author of “How to Swim with the Sharks Without Being Eaten Alive” What is that magic quality makes some people instantly loved and respected? Everyone wants to be their friend (or, if single, their lover!) In business, they rise swiftly to the top of the corporate ladder. What is their ""Midas touch?"" What it boils down to is a more skillful way of dealing with people. The author has spent her career teaching people how to communicate for success. In her book How to Talk to Anyone (Contemporary Books, October 2003) Lowndes offers 92 easy and effective sure-fire success techniques-- she takes the reader from first meeting all the way up to sophisticated techniques used by the big winners in life. In this information-packed book you’ll find: 9 ways to make a dynamite first impression 14 ways to master small talk, ""big talk,"" and body language 14 ways to walk and talk like a VIP or celebrity 6 ways to sound like an insider in any crowd 7 ways to establish deep subliminal rapport with anyone 9 ways to feed someone's ego (and know when NOT to!) 11 ways to make your phone a powerful communications tool 15 ways to work a party like a politician works a room 7 ways to talk with tigers and not get eaten alive In her trademark entertaining and straight-shooting style, Leil gives the techniques catchy names so you'll remember them when you really need them, including: ""Rubberneck the Room,"" ""Be a Copyclass,"" ""Come Hither Hands,"" “Bare Their Hot Button,” “The Great Scorecard in the Sky,"" and ""Play the Tombstone Game,” for big success in your social life, romance, and business. How to Talk to Anyone, which is an update of her popular book, Talking the Winner's Way (see the 5-star reviews of the latter) is based on solid research about techniques that work! By the way, don't confuse How to Talk to Anyone with one of Leil's previous books, How to Talk to Anybody About Anything. This one is completely different!",2003.0,3.78,345.0,15488.0,['Romance']
9780099307914,009930791X,Operation Shylock,A Confession,Philip Roth,American literature,http://books.google.com/books/content?id=QiCJsEpVj3MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"What If A Look-Alike Stranger Stole Your Name, Usurped Your Biography, And Went About The World Pretending To Be You? In His Extraordinary New Book, His Most Ingenious And Original Work Since The Counterlife, Phillip Roth Confronts His Double, An Imposter Whose Self-Appointed Task Is To Lead The Jews Out Of Israel And Back To Europe, A Moses In Reverse And A Monstrous Nemesis To The 'Real' Philip Roth. Suspensful, Hilarious Hugely Impassioned, Pulsing With Intelligence And Narrative Energy, Operaton Shylock Is At Once A Spy Story, A Political Thriller, A Meditation On Identity, And A Confession.",1994.0,3.77,400.0,3013.0,['Classic']
9780099410355,0099410354,Traitor,,Matthew Woodring Stover,Science fiction,http://books.google.com/books/content?id=VbICOKLM6TIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the depths of catastrophe, a glimmer of hope. After the capture of Coruscant, the mighty heart of the New Republic, a stunned galaxy fears that nothing can stop the Yuuzhan Vong. Still, that crushing defeat produces one small miracle: Jacen Solo is alive. Yet he can scarcely imagine himself in stranger circumstances. The young Jedi Knight is in the care of Vergere, a fascinating creature of mystery and power, her intentions hard to fathom, her cruelties rarely concealed. But this master of inscrutable arts has much to teach the young Jedi...for she holds the key to a new way to experience the Force, to take it to another level - dangerous, dazzling, perhaps deadly. In the wrong hands, the tremendous energies of the Froce can be devastating. And there are others watching Jacen's progress closely, waiting patiently for the moment when he will be ready for their own dire purposes. Now, all is in shadows. Yet whatever happens, whether Jacen's newfound mastery unleashes light or darkness, he will never be the same Jedi again...",2002.0,4.0,320.0,6765.0,['Sci-Fi']
9780099427865,0099427869,Illusions,,Richard Bach,Adventure stories,http://books.google.com/books/content?id=Z93wmaJAtyoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders ... until he meets Donald Shimoda - former mechanic and self-described messiah who can make wrenches fly and Richard's imagination soar... In Illusions,the unforgettable follow-up to his phenomenal New York Times bestseller Jonathan Livingston Seagull,Richard Bach takes to the air to discover the ageless truths that give our souls wings- that people don't need airplanes to soar ... that even the darkest clouds have meaning once we lift ourselves above them ... and that messiahs can be found in the unlikeliest places - like hay fields, one-traffic-light midwestern towns, and most of all, deep within ourselves.",2001.0,4.15,144.0,48723.0,['Adventure']
9780099446729,0099446723,Blackwood Farm,,Anne Rice,Horror,http://books.google.com/books/content?id=cIn8Twm4MIkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lestat Is Back, Saviour And Demon, Presiding Over A Gothic Story Of Family Greed And Hatred Through Generations, A Terrifying Drama Of Blood Lust And Betrayal, Possession And Matricide. Blackwood Farm With Its Grand Southern Mansion, Set Among Dark Cypress Swamps In Louisiana, Harbours Terrible Blood-Stained Secrets And Family Ghosts. Heir To Them All Is Quinn Blackwood, Young, Rash And Beautiful, Himself A 'Bloodhunter' Whom Lestat Takes Under His Wing. But Quinn Is In Thrall Not Only To The Past And His Own Appetites But, Even More Dangerously, To A Companion Spirit, A 'Goblin' Succubus Who Could Destroy Him And Others. Only The Unearthly Power Of Lestat Combined With The Earthly Powers Of The Mayfair Clan Could Hope To Save Quinn From Himself And His Ghosts, Or To Rescue The Doomed Girl Quinn Loves From Her Own Mortality- Shocking, Savage And Richly Erotic, This Novel With The Deceptively Gentle Title Bring Us Anne Rice At Her Most Powerfully Disturbing. Here Are Vampires And Witches, Men And Women, Demons And A Doppelg-Nger, Caught Up In A Maelstrom Of Death And Destruction, Blood And Fire, Cruelty And Fate.",2003.0,3.86,774.0,26145.0,['Horror']
9780099448761,0099448769,Dance Dance Dance,,Haruki Murakami,Crime investigation,http://books.google.com/books/content?id=23aiRAguYcEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Combining an offbeat cast of characters with Murakami's idiosyncratic prose, this novel is an assault on all the senses, a murder mystery that is also philosophical speculation, and a dark fable of advanced capitalism.",2003.0,4.04,393.0,47494.0,['Thriller']
